accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
MH379783	MH379783.1	MH379783	2016-11-10	South America	Brazil			1440	Homo sapiens	2018-06-27	2018-06-27		Thomazella et al.	Universidade Estadual de Maringa, Departamento de Analises Clinicas e Biomedicina	https://www.ncbi.nlm.nih.gov/nuccore/MH379783
MH379784	MH379784.1	MH379784	2016-11-10	South America	Brazil			1440	Homo sapiens	2018-06-27	2018-06-27		Thomazella et al.	Universidade Estadual de Maringa, Departamento de Analises Clinicas e Biomedicina	https://www.ncbi.nlm.nih.gov/nuccore/MH379784
MH430250	MH430250.1	MH430250	2016-04-01	Asia	Vietnam	Southeast Region	Ho Chi Minh City	1512	Homo sapiens	2018-07-25	2018-07-25		Thao et al.	Pasteur Institute Ho Chi Minh City, Vietnam, Microbiology and Immunology	https://www.ncbi.nlm.nih.gov/nuccore/MH430250
MH430251	MH430251.1	MH430251	2016-10-20	Asia	Vietnam	Southeast Region	Ho Chi Minh City	1512	Homo sapiens	2018-07-25	2018-07-25		Thao et al.	Pasteur Institute Ho Chi Minh City, Vietnam, Microbiology and Immunology	https://www.ncbi.nlm.nih.gov/nuccore/MH430251
MH430252	MH430252.1	MH430252	2016-10-21	Asia	Vietnam	Southeast Region	Ho Chi Minh City	1512	Homo sapiens	2018-07-25	2018-07-25		Thao et al.	Pasteur Institute Ho Chi Minh City, Vietnam, Microbiology and Immunology	https://www.ncbi.nlm.nih.gov/nuccore/MH430252
MH430253	MH430253.1	MH430253	2016-10-22	Asia	Vietnam	Southeast Region	Ho Chi Minh City	1512	Homo sapiens	2018-07-25	2018-07-25		Thao et al.	Pasteur Institute Ho Chi Minh City, Vietnam, Microbiology and Immunology	https://www.ncbi.nlm.nih.gov/nuccore/MH430253
MH513598	MH513598.1	MH513598	2015-12-09	South America	Brazil	Sinop	Mt	10640	Homo sapiens	2018-09-10	2018-09-21		Bronzoni et al.	Universidade Federal de Mato Grosso, Instituto de Ciencias da Saude	https://www.ncbi.nlm.nih.gov/nuccore/MH513598
MH513599	MH513599.1	MH513599	2015-12-11	South America	Brazil	Sinop	Mt	10658	Homo sapiens	2018-09-10	2018-09-21		Bronzoni et al.	Universidade Federal de Mato Grosso, Instituto de Ciencias da Saude	https://www.ncbi.nlm.nih.gov/nuccore/MH513599
MH513600	MH513600.1	MH513600	2015-12-11	South America	Brazil	Sinop	Mt	10658	Homo sapiens	2018-09-10	2018-09-21		Bronzoni et al.	Universidade Federal de Mato Grosso, Instituto de Ciencias da Saude	https://www.ncbi.nlm.nih.gov/nuccore/MH513600
MH544701	MH544701.2	MH544701	2016-01-17	South America	Colombia			10807	Mus musculus	2018-07-28	2020-08-21		Alvarez Diaz et al.	Colombian National Institute of Health, Sequencing and Genomics Unit	https://www.ncbi.nlm.nih.gov/nuccore/MH544701
MH675619	MH675619.1	MH675619	2016-05-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675619
MH675620	MH675620.1	MH675620	2016-05-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675620
MH675621	MH675621.1	MH675621	2016-05-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675621
MH675622	MH675622.1	MH675622	2016-06-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675622
MH675623	MH675623.1	MH675623	2016-06-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675623
MH675624	MH675624.1	MH675624	2016-06-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675624
MH675625	MH675625.1	MH675625	2016-08-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675625
MH675626	MH675626.1	MH675626	2016-08-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675626
MH675627	MH675627.1	MH675627	2016-08-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675627
MH675628	MH675628.1	MH675628	2016-08-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675628
MH675629	MH675629.1	MH675629	2016-08-XX	North America	USA	Puerto Rico		10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675629
MH675630	MH675630.1	MH675630	2016-09-XX	North America	USA			10807	Homo sapiens	2019-07-24	2019-07-24		Assis et al.	US Food and Drug Administration, CBER/DETTD	https://www.ncbi.nlm.nih.gov/nuccore/MH675630
MH718911	MH718911.1	MH718911	2015-05-25	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718911
MH718912	MH718912.1	MH718912	2015-06-18	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718912
MH718913	MH718913.1	MH718913	2013-01-10	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718913
MH718914	MH718914.1	MH718914	2012-12-29	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718914
MH718915	MH718915.1	MH718915	2013-01-10	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718915
MH718916	MH718916.1	MH718916	2013-01-10	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718916
MH718917	MH718917.1	MH718917	2013-01-23	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718917
MH718918	MH718918.1	MH718918	2013-01-03	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718918
MH718919	MH718919.1	MH718919	2012-01-07	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718919
MH718920	MH718920.1	MH718920	2013-01-10	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718920
MH718921	MH718921.1	MH718921	2013-01-10	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718921
MH718922	MH718922.1	MH718922	2012-01-07	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718922
MH718923	MH718923.1	MH718923	2012-12-19	Europe	Russia			209	Homo sapiens	2018-08-25	2018-08-25		Ternovoi et al.	State Research Center of Virology and Biotehnology 'Vector', Department of Molecular Virology	https://www.ncbi.nlm.nih.gov/nuccore/MH718923
MH763832	MH763832.1	MH763832	XXXX-XX-XX	South America	Brazil			10668	Homo sapiens	2018-09-16	2018-09-16		Petridou et al.	Oxford University, Big Data Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH763832
MH763833	MH763833.1	MH763833	XXXX-XX-XX	South America	Brazil			10670	Homo sapiens	2018-09-16	2018-09-16		Petridou et al.	Oxford University, Big Data Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH763833
MH882527	MH882527.1	MH882527	2016-04-26	South America	Brazil			10753	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882527
MH882528	MH882528.1	MH882528	2016-04-26	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882528
MH882529	MH882529.1	MH882529	2016-05-03	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882529
MH882530	MH882530.1	MH882530	2016-05-10	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882530
MH882531	MH882531.1	MH882531	2016-05-17	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882531
MH882532	MH882532.1	MH882532	2016-05-24	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882532
MH882533	MH882533.1	MH882533	2016-06-03	South America	Brazil			10725	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882533
MH882534	MH882534.1	MH882534	2016-06-08	South America	Brazil			10753	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882534
MH882535	MH882535.1	MH882535	2016-06-16	South America	Brazil			10777	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882535
MH882536	MH882536.1	MH882536	2016-06-28	South America	Brazil			10782	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882536
MH882537	MH882537.1	MH882537	2016-07-05	South America	Brazil			10604	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882537
MH882538	MH882538.1	MH882538	2016-07-12	South America	Brazil			10784	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882538
MH882539	MH882539.1	MH882539	2016-07-19	South America	Brazil			10694	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882539
MH882540	MH882540.1	MH882540	2016-07-27	South America	Brazil			10731	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882540
MH882541	MH882541.1	MH882541	2016-04-19	South America	Brazil			10753	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882541
MH882542	MH882542.1	MH882542	2016-04-19	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882542
MH882543	MH882543.1	MH882543	2016-05-05	South America	Brazil			10792	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882543
MH882544	MH882544.1	MH882544	2016-05-12	South America	Brazil			10767	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882544
MH882545	MH882545.1	MH882545	2016-05-19	South America	Brazil			10791	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882545
MH882546	MH882546.1	MH882546	2016-05-24	South America	Brazil			10791	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882546
MH882547	MH882547.1	MH882547	2016-06-02	South America	Brazil			10752	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882547
MH882548	MH882548.1	MH882548	2016-06-09	South America	Brazil			10782	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882548
MH882549	MH882549.1	MH882549	2016-04-30	South America	Brazil			10783	Homo sapiens	2018-11-19	2018-11-19		Oliveira et al.	United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences	https://www.ncbi.nlm.nih.gov/nuccore/MH882549
MH900227	MH900227.1	MH900227	2016-XX-XX	North America	Mexico	Morelos		10795	Aedes aegypti	2018-12-01	2019-08-06		Izquierdo-Suzan et al.	Universidad Autonoma de la Ciudad de Mexico, Posgrado en Ciencias Genomicas	https://www.ncbi.nlm.nih.gov/nuccore/MH900227
MH916801	MH916801.1	MH916801	XXXX-XX-XX					10658	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916801
MH916802	MH916802.1	MH916802	XXXX-XX-XX					10658	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916802
MH916803	MH916803.1	MH916803	XXXX-XX-XX					10644	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916803
MH916804	MH916804.1	MH916804	XXXX-XX-XX					10641	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916804
MH916805	MH916805.1	MH916805	XXXX-XX-XX					10656	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916805
MH916806	MH916806.1	MH916806	XXXX-XX-XX					10658	Macaca mulatta	2018-10-17	2018-10-29		Tan et al.	J. Craig Venter Institute	https://www.ncbi.nlm.nih.gov/nuccore/MH916806
MH938334	MH938334.1	MH938334	2015-12-07	South America	Brazil	Sinop	Mt	510	Homo sapiens	2019-02-10	2019-02-10		Vieira et al.	Universidade Federal de Mato Grosso, Instituto de Ciencias da Saude	https://www.ncbi.nlm.nih.gov/nuccore/MH938334
MK028538	MK028538.1	MK028538	2016-12-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028538
MK028539	MK028539.1	MK028539	2016-12-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028539
MK028540	MK028540.1	MK028540	2016-12-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028540
MK028541	MK028541.1	MK028541	2016-12-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028541
MK028542	MK028542.1	MK028542	2017-01-18	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028542
MK028543	MK028543.1	MK028543	2017-01-18	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028543
MK028544	MK028544.1	MK028544	2017-01-18	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028544
MK028545	MK028545.1	MK028545	2017-01-18	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028545
MK028546	MK028546.1	MK028546	2017-02-08	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028546
MK028547	MK028547.1	MK028547	2017-02-08	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028547
MK028548	MK028548.1	MK028548	2017-03-03	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028548
MK028549	MK028549.1	MK028549	2017-03-03	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028549
MK028550	MK028550.1	MK028550	2017-03-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028550
MK028551	MK028551.1	MK028551	2017-03-28	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028551
MK028552	MK028552.1	MK028552	2017-04-06	Asia	Thailand			232	Culex quinquefasciatus	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028552
MK028553	MK028553.1	MK028553	2018-01-18	Asia	Thailand			232	Aedes aegypti	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028553
MK028554	MK028554.1	MK028554	2018-01-18	Asia	Thailand			232	Aedes aegypti	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028554
MK028555	MK028555.1	MK028555	2017-08-03	Asia	Thailand			232	Aedes aegypti	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028555
MK028556	MK028556.1	MK028556	2017-08-03	Asia	Thailand			232	Aedes aegypti	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028556
MK028557	MK028557.1	MK028557	2017-08-03	Asia	Thailand			232	Aedes aegypti	2018-11-05	2018-11-05		Phumee et al.	Faculty of Medicine, Chulalongkorn University, Department of Parasitology	https://www.ncbi.nlm.nih.gov/nuccore/MK028557
MK028857	MK028857.1	MK028857	2015-XX-XX	North America	USA	Puerto Rico		10368	Homo sapiens	2018-10-17	2019-07-23	SRR7166469,SRR7166470	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028857
MK028858	MK028858.1	MK028858	2015-XX-XX	North America	Panama			10772	Homo sapiens	2018-10-17	2019-07-23	SRR7167600,SRR7167601	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028858
MK028859	MK028859.1	MK028859	2015-XX-XX	North America	Panama			10771	Homo sapiens	2018-10-17	2019-07-23	SRR7167596,SRR7167597	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028859
MK028860	MK028860.1	MK028860	1984-XX-XX	Africa	Senegal	Kedougou		10771	Aedes africanus	2018-10-17	2019-07-23	SRR7170064,SRR7170065	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028860
MK028861	MK028861.1	MK028861	2015-XX-XX	North America	Panama			10423	Homo sapiens	2018-10-17	2019-07-23	SRR7167602,SRR7167603	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028861
MK028862	MK028862.1	MK028862	2010-XX-XX	Asia	Cambodia			9901	Homo sapiens	2018-10-17	2019-07-23	SRR7167598,SRR7167599	Rios et al.	US Food and Drug Administration, Center for Devices and Radiological Health	https://www.ncbi.nlm.nih.gov/nuccore/MK028862
MK049245	MK049245.1	MK049245	2016-02-29	South America	Colombia			10385	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049245
MK049246	MK049246.1	MK049246	2016-03-09	South America	Colombia			10385	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049246
MK049247	MK049247.1	MK049247	2016-01-29	South America	Colombia			10385	Aedes aegypti	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049247
MK049248	MK049248.1	MK049248	2016-07-27	South America	Colombia			10385	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049248
MK049249	MK049249.1	MK049249	2016-11-02	South America	Colombia			10385	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049249
MK049250	MK049250.1	MK049250	2016-06-22	South America	Colombia			10054	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049250
MK049251	MK049251.1	MK049251	2016-08-30	South America	Colombia			10054	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049251
MK049252	MK049252.1	MK049252	2016-05-16	South America	Colombia			10385	Homo sapiens	2018-11-18	2018-11-18		Black et al.	Fred Hutchinson Cancer Research Cen, Vaccine and Infectious Disease	https://www.ncbi.nlm.nih.gov/nuccore/MK049252
MK050090	MK050090.1	MK050090	2016-08-31	Europe	Spain			579	Homo sapiens	2018-11-18	2018-11-18		Guerrero-Latorre et al.	Vall d'Hebron Research Institute (VHIR), Microbiology	https://www.ncbi.nlm.nih.gov/nuccore/MK050090
MK105975	MK105975.1	MK105975	2016-06-14	Africa	Uganda			10772	Chlorocebus aethiops	2018-11-14	2018-11-14		Green et al.	University of Washington, Center for Innate Immunity	https://www.ncbi.nlm.nih.gov/nuccore/MK105975
MK216687	MK216687.1	MK216687	2016-02-19	South America	Brazil	Manaus	Amazonas	10338	Homo sapiens	2020-01-04	2020-01-04		Giovanetti et al.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	https://www.ncbi.nlm.nih.gov/nuccore/MK216687
MK216688	MK216688.1	MK216688	2016-03-10	South America	Brazil	Manaus	Amazonas	10338	Homo sapiens	2020-01-04	2020-01-04		Giovanetti et al.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	https://www.ncbi.nlm.nih.gov/nuccore/MK216688
MK216689	MK216689.1	MK216689	2016-03-14	South America	Brazil	Manaus	Amazonas	994	Homo sapiens	2020-01-04	2020-01-04		Giovanetti et al.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	https://www.ncbi.nlm.nih.gov/nuccore/MK216689
MK216690	MK216690.1	MK216690	2016-03-18	South America	Brazil	Manaus	Amazonas	10338	Homo sapiens	2020-01-04	2020-01-04		Giovanetti et al.	Fundacao Oswaldo Cruz, Laboratorio de Flavivirus	https://www.ncbi.nlm.nih.gov/nuccore/MK216690
